sentence,year,label,,,
"Instead, I would like to address a separate but not unrelated topic, the interaction of bank supervision and regulation with monetary policy, and how supervision and regulation might work to make monetary policy implementation more effective in the current environment, particularly as it relates to a bank's demand for reserves.2 But first, let me start with a brief take on the current economic outlook.",1998,2,,,
"Inflation continued to run below the Committee's longer-run objective, held down in part by the effects of declines in energy and non-energy import prices.",2004,0,,,
"It isn’t really just targeting the headline numbers, but it’s about taking all of those things into account in your thinking about what constitutes maximum employment.",2021,2,,,
"At some point, continued large-scale trade deficits could trigger equilibrating, and possibly dislocating, changes in prices, interest rates, and exchange rates.",2022,1,,,
"Moreover, the staff still judged that the risks to the forecast for real GDP growth were tilted to the downside, with a corresponding skew to the upside for the unemployment rate.",2002,0,,,
"Based on historical experience, it seems improbable that all of the large rise in multifactor productivity could be attributed to cyclical or transitory factors.",2007,0,,,
We have long said that the size of the balance sheet will be considered normalized when the balance sheet is once again at the smallest level consistent with conducting monetary policy efficiently and effectively.,2020,2,,,
These decisions can then push up prices even more and make inflation harder to get under control.,2003,1,,,
They continued to expect that inflation would move up toward the Committee's 2 percent objective over the medium term as the effects of these transitory factors waned and conditions in the labor market improved further.,2017,2,,,
"Financial markets seem to think the sameâ€”5-year breakeven inflation expectations are around 2.5 percent, and 5-year, 5-year-forward measures are around 2 percent, when adjusted for the difference between CPI (consumer price index) and PCE (personal consumption expenditures) inflation rates.6 Hence, markets do not believe the current factors pushing up inflation will last for long.",2005,2,,,
"For a variety of reasons, oil prices already had risen appreciably since the start of the year.",2007,1,,,
"Inflation has declined further below our longer-run objective, largely reflecting the lower energy prices I just mentioned.",2012,0,,,
"Certainly, if we are to remain preeminent in transforming knowledge into economic value, the U.S. system of higher education must remain the world's leader in generating scientific and technological breakthroughs and in preparing workers to meet the evolving demands for skilled labor.",2007,2,,,
"There’s a lot more demand for risk sharing, for liquidity services, and so on.",2015,2,,,
